attempt_id,student_id,question_id,timestamp,response,is_correct,time_seconds,skills_missed
ST1762752987,S1,Q_MSLS1_1A_1,1762752987,A,1,0,[]
ST1762752979,S1,Q_MSLS1_1A_1,1762752979,B,0,0,[]
ST1762752933,S1,Q_MSLS1_2A_1,1762752933,A,0,0,[]
ST1762752522,S1,Q_MSLS1_2A_1,1762752522,A,0,0,[]
ST1762752439,S1,Q_MSLS1_2A_1,1762752439,B,1,0,[]
ST1762752393,S2,Q_MSLS1_1A_1,1762752393,A,1,0,[]
ST1762752390,S2,Q_MSLS1_1A_1,1762752390,A,1,0,[]
ST1762752385,S2,Q_MSLS1_1A_1,1762752385,A,1,0,[]
ST1762752378,S2,Q_MSLS1_1A_1,1762752378,B,0,0,[]
A5a05d8dcc3374a98b6efcb871858176e,S1,Q_MSLS1_1A_1,1762751543,Quick:correct,1,0,[]
A6494b393221b4fe0bc5c6e352cd5d5e1,S1,Q_MSLS1_1A_1,1762751526,Quick:correct,1,0,[]
A80fdaa80487a4d3b9f983a456fe1f2be,S1,Q_MSLS1_1A_1,1762751511,Quick:incorrect,0,0,[]
A074f07624a0748c39d7bfa9d872270c7,S1,Q_MSLS1_1A_1,1762751500,Quick:incorrect,0,0,[]
Afad1fc92a685457aa99f542387590429,S1,Q_MSLS1_1A_1,1762751479,Quick:correct,1,0,[]
Ab63f911bc5a4476a8956ffed1d06fedd,S3,Q-LS1-1,1762657483,Quick:correct,1,0,[]
Acfab27eda5164d25bb234d43be0cbc16,S3,Q-LS1-1,1762618450,Quick:incorrect,0,0,[]
A1a94ebcf101746938d9b9090d8133992,S3,Q-LS1-1,1762618445,Quick:incorrect,0,0,[]
A886a28e3e07345df8dcb2eb882b7d7b2,S3,Q-LS1-1,1762618440,Quick:incorrect,0,0,[]
A181fd4f96911475abc3b142ebe887b41,S3,Q-LS1-1,1762618436,Quick:incorrect,0,0,[]
A71fdbe4a8a2041af9ea71701ddd8994f,S3,Q-LS1-1,1762618431,Quick:incorrect,0,0,[]
Adc0cb227ceaf4aa69b17e25a64a70d14,S3,Q-LS1-1,1762618397,Quick:correct,1,0,[]
A1762618317,S3,Q-LS1-1,1762618317,A,1,0,[]
A1762618271,S3,Q-ESS1-1,1762618271,A,0,0,[]
A1762055159,S1,Q-ESS1-1,1762055159,B,1,0,[]
A1762055141,S1,Q-ESS1-1,1762055141,D,0,0,[]
A241659aa986e4ce8a4d942e1ccdf6039,S1,Q-OBJ-ESS1-HS-1-quick,1762055119,Quick:correct,1,0,[]
A1762055112,S1,Q-ESS1-1,1762055112,C,0,0,[]
A1762055000,S1,Q-ESS1-1,1762055000,B,1,0,[]
A1762052714,S1,Q-ESS1-1,1762052714,B,1,0,[]
A1762052473,S1,Q-ESS1-1,1762052473,B,1,0,[]
A1762052467,S1,Q-ESS1-1,1762052467,B,1,0,[]
A1762052462,S1,Q-ESS1-1,1762052462,B,1,0,[]
A1762052456,S1,Q-ESS1-1,1762052456,B,1,0,[]
A1762052451,S1,Q-ESS1-1,1762052451,B,1,0,[]
A1762052445,S1,Q-ESS1-1,1762052445,B,1,0,[]
A1762052433,S1,Q-ESS1-1,1762052433,D,0,0,[]
