objective_id,standard_id,objective_text,order_in_band
MS-LS1-1A,MS-LS1-1,Describe that cells are the basic unit of structure and function in living things.,1
MS-LS1-1B,MS-LS1-1,Explain how groups of cells form tissues that perform specific functions.,2
MS-LS1-2A,MS-LS1-2,Interpret diagrams that show how body systems interact to carry out functions.,1
MS-LS1-2B,MS-LS1-2,Identify which organs belong to specific body systems in a model.,2
MS-LS1-3A,MS-LS1-3,Describe structures in organisms that increase chances of survival and reproduction.,1
MS-LS1-3B,MS-LS1-3,Use examples to explain how behaviors can help organisms survive and reproduce.,2
MS-LS1-4A,MS-LS1-4,Explain that sensory receptors detect different types of stimuli from the environment.,1
MS-LS1-4B,MS-LS1-4,Describe how signals from receptors are processed by the nervous system to produce responses.,2
MS-LS1-5A,MS-LS1-5,Describe how environmental factors like light affect plant growth and reproduction.,1
MS-LS1-5B,MS-LS1-5,Interpret data from simple experiments on plant growth under different conditions.,2
